tournaments.RoundRobinTournament
AIs
	WorkerRush(AStarPathFinding)
	LightRush(AStarPathFinding)
	MonteCarlo(100,-1,100,-1, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	AgentP(AStarPathFinding)
	mayari
maps
	/home/olivarad/NetBeansProjects/MicroRTS/maps/16x16/basesWorkers16x16.xml
iterations	10
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
7	0	4	3	1525	0	-1	-1
8	0	0	1	470	0	-1	-1
8	0	0	2	1240	0	-1	-1
8	0	0	3	3000	-1	-1	-1
8	0	0	4	1015	1	-1	-1
8	0	1	0	835	1	-1	-1
8	0	1	2	564	0	-1	1
8	0	1	3	1004	1	-1	-1
8	0	1	4	1070	1	-1	-1
8	0	2	0	1065	1	-1	-1
8	0	2	1	488	1	-1	0
8	0	2	3	396	1	-1	0
8	0	2	4	440	1	-1	0
8	0	3	0	1445	1	-1	-1
8	0	3	1	896	0	-1	-1
8	0	3	2	876	0	-1	-1
8	0	3	4	761	0	-1	-1
8	0	4	0	1185	0	-1	-1
8	0	4	1	1172	0	-1	-1
8	0	4	2	576	0	-1	1
8	0	4	3	1210	0	-1	-1
9	0	0	1	470	0	-1	-1
9	0	0	2	0	0	-1	1
9	0	0	3	3000	-1	-1	-1
9	0	0	4	1345	1	-1	-1
9	0	1	0	835	1	-1	-1
9	0	1	2	1159	0	-1	-1
9	0	1	3	1004	1	-1	-1
9	0	1	4	1070	1	-1	-1
9	0	2	0	2085	1	-1	-1
9	0	2	1	404	1	-1	0
9	0	2	3	1178	1	-1	-1
9	0	2	4	410	1	-1	0
9	0	3	0	1445	1	-1	-1
9	0	3	1	896	0	-1	-1
9	0	3	2	857	0	-1	-1
9	0	3	4	854	0	-1	-1
9	0	4	0	920	0	-1	-1
9	0	4	1	1172	0	-1	-1
9	0	4	2	430	0	-1	1
9	0	4	3	1137	0	-1	-1
Wins:
0	10	7	0	3	
0	0	10	0	0	
1	0	0	0	0	
0	10	10	0	6	
10	10	10	10	0	
Ties:
0	0	1	10	0	
0	0	0	0	0	
1	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
Average Game Length:
0.0	470.0	1119.3	3000.0	987.8	
835.0	0.0	531.9	1004.0	1070.0	
1458.8	451.2	0.0	857.7	473.0	
1445.0	896.0	835.5	0.0	1123.2	
983.0	1172.0	482.6	1252.2	0.0	
AI crashes:
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
opponent AI crashes:
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
AI timeout:
0	0	0	0	0	
0	0	0	0	0	
2	10	0	4	10	
0	0	0	0	0	
0	0	0	0	0	
opponent AI timeout:
0	0	4	0	0	
0	0	9	0	0	
0	0	0	0	0	
0	0	4	0	0	
0	0	10	0	0	
